username,rating,date,review_text,pros,cons
Lisa S.,5,2024-11-22,Palmers coconut body lotion is lovely. Feels luxurious when applying absorbing well. Leaves skin feeling very soft and smooth. Leaving a beautiful coconut scent on your soft skin!,,
Gintare T.,5,2024-10-18,"Daily body lotion that is moisturizing. I always use it after showering. It has a rather thick consistency, so you need to massage it well into the skin. The skin is left soft and supple and still smells like coconuts. Contains a coconut oil formula and green coffee extract. Therefore, the skin always looks radiant and healthy.",,
Ariel We,5,2024-09-21,I absolutely love this coconut lotion it smells so good. It absorbs in my skin nicely. The package is beautiful. I will definitely recommend this product.,,
Tasena Sa,5,2024-08-26,"This body lotion is lightweight, absorbing , moisturizing and most of all it smell amazing. I enjoy using this product it is good for every day use.",,
Mia C,4,2024-08-06,"This lotion is one i recommend to everybody, as it goes well with my vanilla perfume (as well as many others). It leaves you feeling moisturised all day, rubs in well and isn’t sticky. The coconut scent is beautiful and i get compliments all the time!! 💗 While the packaging can collect dirt (as seen here) its easy to use and does the job well! x",,
Olha Z.,5,2024-06-30,"Palmers Coconut Bodylotion 🥥🌴 I'll start with the disadvantages, despite the fact that this is my favorite body lotion, the smell of this particular lotion is very cloying and pungent, I can’t use it at night because it’s very strong despite the smell, this is a super moisturizing lotion, the best in the business, absorbs quickly, has a nice soft texture, my special recommendation for those with dry skin the lotion has a good thick plastic packaging, with a convenient spout for receiving the product good clean composition",,
Kaylee Es,5,2024-04-07,I love this lotion so much that I had to buy the value size. I use this lotion everyday. I find the coconut smell super nice and not overpowering as well as a nice scent to pair with my perfume. The scent lasts the whole day on my skin and the hydration is my favorite part of this lotion. Also love that it isn’t sticky like some lotions and not so watery. Have and would recommend this lotion to anyone who’s looking for a good lotion for everyday use!!💗,,
Luishia C.,5,2024-01-19,"To start of with the scent is amazing! The texture does not feel thick and horrid, it is light and the absorption to skin is amazing. My skin has been bad over the years but is completely different with this moisturiser/body lotion.",,
Antoinette W.,4,2023-11-04,"""Palmer's Coconut Body Lotion is a true tropical delight! The rich coconut scent is heavenly and makes you feel like you're on a beach vacation. The lotion is incredibly moisturizing and leaves my skin feeling soft and long-lasting. It's also great for soothing dry or sun-exposed skin. I love the non-greasy formula, and it's become a staple in my skincare routine. If you're a fan of coconut-scented products and need deep hydration, this lotion you have to try.”",,
Deisy L.,3,2023-06-07,"Sí te gusta el olor a coco este producto te puede gustar para mi gusto es muy fuerte el olor si dura en la piel pero es demaciado el olor que te llega a cansar de tanto que huele, es hidratante y no es tan pesada su fórmula If you like the smell of coconut this product you may like for my taste it is very strong the smell if it lasts on the skin but it is too much the smell that makes you tired of so much that it smells, it is moisturizing and its formula is not so heavy",,
LaChelle S.,5,2023-05-14,This lotion is absolutely amazing. It really does hydrate the driest of skin without leaving it feeling greasy or heavy. It smells of a light coconut scent due to the coconut oil and has green coffee in it to help skin keep a youthful glow. It holds up to it’s promise to deeply moisturise and give a radiant glow all at a really inexpensive price! Love it!,,
Lindsay Ri,5,2023-04-19,"Love the smell and consistency. I bought the pump bottle in large size. Easy to apply, easy to dispense. My new favourite lotion.",,
Journey Ba,5,2022-07-27,By far my favorite lotion ever it’s the only one i’ll use !! Smells amazing and it never makes my allergies act up due to so many perfumes in products. I love pairing it with their coconut oil ! Best lotion ever!,,
Nana Ama A.,4,2022-07-27,It has a distinct smell of coconut and leaves my skin feeling soft it dries really quickly though but it is worth the money,,
Yesenia Mi,5,2022-04-07,"I use this item everyday. I love the fragrance and my skin look more soft, smooth and moisture. I recommend this product TRY",,
Holly B.,5,2022-03-30,"Love, love, LOVE this stuff! It’s the only brand of the lotion that I have to have in the house, although I do use others. Even when I was pregnant, I never got one single stretch mark when I used palmers coconut oil cream. It smells great, leaves my skin not greasy, absorbs well, and softens my skin immediately. I will always buy these![product:palmers-coconut-bodylotion] [product:palmers-coconut-oil-body-butter] ￼",,
Tanasha A.,5,2022-02-22,"My hands would go from dry to smooth within seconds and it smells amazing. Long-lasting effects on the skin, keeping it smooth & soft",,
