username,rating,date,review_text,pros,cons
Pooja P.,5,2 hours ago,I have been using this moisturizer for years now. This lotion is perfect for dry. Skin is not too heavy or not too light. It doesn’t leave greasy feeling on your skin I also love that it fragrance free. It’s great for kids also.,,
Savy S.,5,5 hours ago,I have been using this lotion my whole life!! It moisturizes my skin so well and feels so smooth. No harsh smell and I love the soothing ingredients.,,
Yen C.,4,1 day ago,"This Aveeno body lotion has a creamy texture and feels very lightweight when applied to skin, it feels so smooth and gentle. Locks in moisture without any greasy feeling, works great for dry skin. If you have sensitive skin or dislike overpowering scents I would recommend this lotion. I preferably like scented body lotions but definitely would be buying again.",,
Kaya R.,5,2 days ago,"i really enjoy using this product on my sensitive skin. it is very gentle on the skin, light but sweet scent, really improved the condition of skin",,
Simina P.,5,2 days ago,"It's one of the best moisturiser out there. Even my husband is using it, and he can not use any cream as he's allergic to the majority of the ingredients. Skin feels soft and hydrated and absorbs well. I appreciate the lack of perfume. We need more natural products such as this Aveeno Cream. Recommend",,
CINTHIA S.,5,2 days ago,"La Aveeno Daily Moisturizing Body Lotion me funciona genial cuando tengo la piel seca. Se siente ligera, pero hidrata de verdad y no me deja pegajosa. Me gusta que no tiene olor fuerte ni ingredientes raros, y se nota que cuida la piel con cada uso. Perfecta para todos los días.",,
Maia M.,5,2 days ago,"This lotion should be vanity staple. It soothes irritated dry skin, and makes your skin silky smooth. It smells good and the pump is easy to use. It is a perfect lotion",,
Jenna W.,5,3 days ago,Great everyday lotion. It nourishes your skin while not being too thick and sticky. A great option for everyone in the family. The pump dispenser is always a plus!,,
Nicole M.,5,3 days ago,"Absolutely love this lotion. Great to use everyday after showers and as moisturiser. Really subtle smell so perfect if you don’t like heavily scented moisturisers. Moisture locks into your skin all day, and is overall a great moisturiser to consider using day-to-day.",,
Adrian Alexandru D.,5,3 days ago,"Fantastic product! I use it for my daughter's sensitive skin and it works. It's very moisturising and it gets absorbed fast into the skin. Also I love the bottle, it has a great size and it's easy to use. The best product for dry/sensitive skin. Highly recommend!",,
Meha P.,5,4 days ago,"I like this product for the price point it’s at. It does the job, nothing too fancy or exotic. It is super efficient and is the best thing for my skin in winters.",,
Jennifer A.,5,4 days ago,I’ve been using this for over a decade! This is my favorite body lotion. I also have a back up. I love that this isn’t scented. The lotion massages into the skin well. Doesn’t leave me feeling greasy. Perfect for any season. I’ll always repurchase,,
Katie M.,5,6 days ago,"Mine and my baby's skin is super soft using this product, it absorbs lively and the packaging is oerfect for what it is, it smells lovely too, a real good product",,
Sian B.,5,6 days ago,Absolutely love this product 😍😄 Fantastic absorption and smells lovely - the texture is smooth and not oily which I find Great! Packaging is simple and the ingredients are fine to me.,,
