username,rating,date,review_text,pros,cons
Alisha G.,5,2025-04-27,No scent which is great if you have a sensitive nose. Packaging is great never had a pump break in me before and I’m dropped it or got it knocked off my dresser plenty of times.,,
Emily C.,5,2025-04-26,Good fragrance without being overpowering. Moisturizing that blends into skin without leaving a sticky or greasy feeling in my skin. Blends into well!,,
Courtney M.,5,2025-04-26,"I've been using Aveeno Daily Moisturizer for years, and it's become a staple in my skincare routine. What I love most is how lightweight it feels on my skin – it doesn't leave any greasy residue, which is a huge plus. It absorbs quickly, leaving my skin feeling soft and smooth all day. I have sensitive skin, and this moisturizer has never caused any irritation or breakouts. It's fragrance-free, which is perfect for those who are sensitive to scents. Overall, it's a reliable and effective moisturizer that keeps my skin healthy and hydrated. Highly recommend!",,
Pooja P.,5,2025-04-25,I have been using this moisturizer for years now. This lotion is perfect for dry. Skin is not too heavy or not too light. It doesn’t leave greasy feeling on your skin I also love that it fragrance free. It’s great for kids also.,,
Savy S.,5,2025-04-25,I have been using this lotion my whole life!! It moisturizes my skin so well and feels so smooth. No harsh smell and I love the soothing ingredients.,,
Yen C.,4,2025-04-24,"This Aveeno body lotion has a creamy texture and feels very lightweight when applied to skin, it feels so smooth and gentle. Locks in moisture without any greasy feeling, works great for dry skin. If you have sensitive skin or dislike overpowering scents I would recommend this lotion. I preferably like scented body lotions but definitely would be buying again.",,
Kaya R.,5,2025-04-23,"i really enjoy using this product on my sensitive skin. it is very gentle on the skin, light but sweet scent, really improved the condition of skin",,
Simina P.,5,2025-04-23,"It's one of the best moisturiser out there. Even my husband is using it, and he can not use any cream as he's allergic to the majority of the ingredients. Skin feels soft and hydrated and absorbs well. I appreciate the lack of perfume. We need more natural products such as this Aveeno Cream. Recommend",,
CINTHIA S.,5,2025-04-23,"La Aveeno Daily Moisturizing Body Lotion me funciona genial cuando tengo la piel seca. Se siente ligera, pero hidrata de verdad y no me deja pegajosa. Me gusta que no tiene olor fuerte ni ingredientes raros, y se nota que cuida la piel con cada uso. Perfecta para todos los días.",,
Maia M.,5,2025-04-22,"This lotion should be vanity staple. It soothes irritated dry skin, and makes your skin silky smooth. It smells good and the pump is easy to use. It is a perfect lotion",,
Jenna W.,5,2025-04-22,Great everyday lotion. It nourishes your skin while not being too thick and sticky. A great option for everyone in the family. The pump dispenser is always a plus!,,
Nicole M.,5,2025-04-22,"Absolutely love this lotion. Great to use everyday after showers and as moisturiser. Really subtle smell so perfect if you don’t like heavily scented moisturisers. Moisture locks into your skin all day, and is overall a great moisturiser to consider using day-to-day.",,
Adrian Alexandru D.,5,2025-04-22,"Fantastic product! I use it for my daughter's sensitive skin and it works. It's very moisturising and it gets absorbed fast into the skin. Also I love the bottle, it has a great size and it's easy to use. The best product for dry/sensitive skin. Highly recommend!",,
Meha P.,5,2025-04-21,"I like this product for the price point it’s at. It does the job, nothing too fancy or exotic. It is super efficient and is the best thing for my skin in winters.",,
Jennifer A.,5,2025-04-21,I’ve been using this for over a decade! This is my favorite body lotion. I also have a back up. I love that this isn’t scented. The lotion massages into the skin well. Doesn’t leave me feeling greasy. Perfect for any season. I’ll always repurchase,,
Katie M.,5,2025-04-19,"Mine and my baby's skin is super soft using this product, it absorbs lively and the packaging is oerfect for what it is, it smells lovely too, a real good product",,
Sian B.,5,2025-04-18,Absolutely love this product 😍😄 Fantastic absorption and smells lovely - the texture is smooth and not oily which I find Great! Packaging is simple and the ingredients are fine to me.,,
Nad K.,5,2025-04-18,"Aveeno Daily Moisturizing Body Lotion is widely regarded as a reliable choice for individuals with dry or sensitive skin. Its formulation, featuring colloidal oatmeal and glycerin, is designed to provide 24-hour hydration without leaving a greasy residue , it’s perfect for my dry and dehydrated skin from hands to elbows and legs to knees feeling of softness and hydration. Majically works for my skin . Clinically proven to moisturize for 24 hours, helping to restore the skin’s natural moisture barrier. ￼ This Gentle Formula: Fragrance-free, non-comedogenic, and suitable for sensitive skin types. So all age groups can use it from babies to adults.￼ it’s Texture feels Lightweight and non-greasy, making it comfortable for daily use.",,
Rachel B.,5,2025-04-18,"This is one of my favorite lotions. Fragrance free, great packaging, and it doesn't stay greasy on your skin. It has great texture and dries quickly. I highly recommend this lotion for dry skin folks!",,
So Young C.,5,2025-04-18,Aveeno Daily Moisturising Lotion is mild but effective. I use it daily after shower. It keeps moisture under my skin and I never feel dryness. Like it.,,
Jamie S.,5,2025-04-18,Love this stuff! Very good for sensitive dry skin and fragrance free. Been using it for years and never ever does me wrong! My holy grail definitely recommend,,
Imilia R.,5,2025-04-18,"The aveeno lotion is my favorite lotion because of the soft scent it’s not overpowering. My skin just absorbs , and I love the ingredients in the products.",,
Oyuntungalag O.,5,2025-04-18,"My favorite moisturizer! I have been using it for so many years. The texture is great, and there is no weird scent. It absorbs very well. And the packaging is - well no complaints.",,
