id,title,rating,date,text,verified,helpful
cc5370f19d2f2fe0e245b40ce83b5076,,5.0 out of 5 stars,Reviewed in India on 22 November 2024,"Keeps skin hydrated, non sticky. It has no scent but very effective for keeping the skin hydrated",True,One person found this helpful
56a1333bdf918bda34771cfd7e59c543,,5.0 out of 5 stars,Reviewed in India on 30 December 2024,This is the only product in its price range that is 100% fragrance free. This is essential for people with highly sensitive skin. An excellent moisturiser.,True,0 people found this helpful
ce915d6f88942bd5781e36416a08a817,,4.0 out of 5 stars,Reviewed in India on 7 January 2025,The product works well to keep your skin hydrated without draining your wallet like the high end creams. Try it out.,True,0 people found this helpful
bd5d1d46d432b287ba19485c4a8ddb1a,,5.0 out of 5 stars,Reviewed in India on 5 November 2024,"Excellent product.....very helpful for eczemas and xerosis

Delivered in good condition",True,0 people found this helpful
eb9ddc400f363e0e1692f68383fc1882,,5.0 out of 5 stars,Reviewed in India on 7 April 2025,"Very Effective,longevity
My skin soft I love it",True,0 people found this helpful
e6fa9391103738065f377be0e2bf1042,,5.0 out of 5 stars,Reviewed in India on 4 April 2025,Good Product,True,0 people found this helpful
6426c6f595734e025006ead4cbdcdc8a,,5.0 out of 5 stars,Reviewed in India on 25 June 2024,I have had eczema and this is the moisturiser that helped me to keep my skin moisturised throughout the day. The moisture stays for more that 24hrs too. Its light and doesnt feel heavy on the skin. I always go for fragrance free and this is the best. A good moisturiser for eczema or dry skin issues,True,3 people found this helpful
0a6dc9d749e816210e6e19eb7e61b47d,,3.0 out of 5 stars,Reviewed in India on 16 October 2023,"I haven’t use the product but I did use it earlier and it was very nice. Product’s look has changed, so will see if the effects are remaining same or not.
Worst packaging, seller should have common sense to think that it could leak, so they should have done proper packaging, but they packed it like a cloth piece, just under a paper cover and as a result I received a broken and damaged product, I have urgency to use it so I managed somehow otherwise I would have returned it.",True,2 people found this helpful
27663f6b1eff34ed0e871163047f3f16,,4.0 out of 5 stars,Reviewed in India on 2 April 2025,Quite smooth lotion as my skin is very sensitive so it’s best for sensitive and itchy skin it’s very light and non sticky yet smooth on skin 👍 all who have sensitive itchy skin can go for this product,True,0 people found this helpful
39585b4116082fecb5c5f02a20ecf33e,,4.0 out of 5 stars,Reviewed in India on 9 April 2025,The product it good but here it said free delivery but delivery was charge when the pasal reach home,True,0 people found this helpful
1db12662f1844b9921e35fccc75e078e,,5.0 out of 5 stars,Reviewed in India on 17 January 2025,Good,True,0 people found this helpful
55d17445e95d4ca9c6fff12f44896000,,5.0 out of 5 stars,Reviewed in India on 12 January 2025,उपयोगी है,True,0 people found this helpful
c11afd3ddd2554a5e644997178b79d8c,,4.0 out of 5 stars,Reviewed in India on 17 February 2024,"Worth every penny. Must buy in winters, boon for dry skin. I’ve been an Aveeno user for years, but I recently gave my mom and granny who are battling cancer. Their skin turned thin, dark, and dry from the side effects of the chemotherapy, and black patches started to emerge. This moisturiser has been been true to its name, and been consistently effective on the aforementioned issues, and especially my mother’s agony from peeling skin has significantly decreased all thanks to this moisturizer.",True,3 people found this helpful
a221c1e1495b902c619e75dbd4d5ae1e,,5.0 out of 5 stars,Reviewed in India on 21 October 2024,It’s not long lasting but it didn’t irritate my skin at all,True,One person found this helpful
7ddd861c11c7304924d0fe2be1665747,,5.0 out of 5 stars,Reviewed in India on 29 July 2024,A very good moisturizing lotion.. might be little expensive but very good effect.. very light.. non sticky.. good product,True,One person found this helpful
75d315a7b7b328b2b0c1d24ccd982c8b,,5.0 out of 5 stars,Reviewed in India on 8 April 2024,"I was struggling with dry skin since childhood. Tried different moisturisers over years & the only one that actually helped me calm my skin is aveeno. One bottle will last 3-4 months, hence the price is justified.",True,0 people found this helpful
45397eff0e403ba3fd56827a02c10622,,5.0 out of 5 stars,Reviewed in India on 22 August 2023,"I'm a person with extreme dry skin, this lotion works wonder, it hydrates the skin, it moisturizes the skin so well, the durability is also amazing, this lasts very long. Everytime I order bulk of 3-5 lotions together as i love them so much, I've been using this lotion since 2019, i. And my skin has become so much better than ever❤️",True,3 people found this helpful
9f9e804757ae9c8cdb77df6e58f0424b,,4.0 out of 5 stars,Reviewed in India on 4 September 2023,"The description says it's for itchy dry skin. The one received is only for dry and sensitive skin.
As it is not returnable I'm forced to order one more.",True,6 people found this helpful
5b523b9e086a77e4b29d71b1d77fa7ce,,4.0 out of 5 stars,Reviewed in India on 25 June 2023,I am suffering from eczema .I have ordered this second time .I feel it keeps my skin moisturised for more time than any other brand .Ordered body wash too,True,4 people found this helpful
3dd0e77eb6c28eb4a710983f9f10bf1d,,5.0 out of 5 stars,Reviewed in India on 24 December 2021,"Firstly, Thank you Aveeno... It worked like magic on my skin within. Weeks time. I have super dry and flaky skin. I have been using several other moisturizer over the period of time and I can for sure say that Aveeno is the best among all. After a week+ use my skin is well moisturized and doesn't have the white patches anymore. It's a bit expensive, but it's worth spending on this as you will get the result that you have been looking for all these while!! Go for it!",True,3 people found this helpful
ba47a185adeb852defdf6a38fcf6c5c0,,4.0 out of 5 stars,Reviewed in India on 12 November 2023,Nice,True,0 people found this helpful
